Key,Type,Severity,Component,Line,Message,Effort,RuleName,HowToFix,Tags
92a13a38-f9ab-4b0b-9a3d-b31fa4240796,CODE_SMELL,MINOR,strategic-learning-unified-theatre:src/commands/bc2-sync.js,23,"Prefer `Number.isFinite` over `isFinite`.",2min,"Number static methods and properties should be preferred over global equivalents","",""
a653e0e6-90f5-4f75-9250-9d623b54beca,CODE_SMELL,MINOR,strategic-learning-unified-theatre:src/commands/bc2-sync.js,24,"`new Error()` is too unspecific for a type check. Use `new TypeError()` instead.",2min,"Generic ""Error"" should be ""TypeError"" when thrown after type checking","",""
748456a2-9377-4cd8-87f4-fd410b309feb,CODE_SMELL,MINOR,strategic-learning-unified-theatre:src/commands/bc2-sync.js,52,"Prefer `Number.isFinite` over `isFinite`.",2min,"Number static methods and properties should be preferred over global equivalents","",""
e98c67ec-cc4c-448d-9710-aa1cc1329beb,CODE_SMELL,MINOR,strategic-learning-unified-theatre:src/idea-store.js,21,"'(params?: string | { abort?: boolean; version?: ""v1"" | ""v2"" | ""v3"" | ""v4"" | ""v5"" | ""v6"" | ""v7"" | ""v8""; error?: string | $ZodErrorMap<$ZodIssueInvalidStringFormat>; message?: string; }): ZodString' is deprecated.",15min,"Deprecated APIs should not be used","",""
468773c1-a391-4a12-b9c6-93d60eeded70,CODE_SMELL,MAJOR,strategic-learning-unified-theatre:src/llm/experience-db.js,391,"Prefer using an optional chain expression instead, as it's more concise and easier to read.",5min,"Optional chaining should be preferred","",""
84b8a476-18c5-48af-83dc-3470da3f740d,CODE_SMELL,CRITICAL,strategic-learning-unified-theatre:src/llm/inference.js,27,"Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.",6min,"Cognitive Complexity of functions should not be too high","",""
c208cf8c-4c04-4bad-a1d4-c4e2f0661006,CODE_SMELL,MINOR,strategic-learning-unified-theatre:src/llm/inference.js,51,"Do not call `Array#push()` multiple times.",5min,"Multiple consecutive calls to methods that accept multiple arguments should be combined","",""
0e90d22c-a812-4ad7-93e9-e91501741fe4,CODE_SMELL,BLOCKER,strategic-learning-unified-theatre:src/llm/inference.js,106,"Refactor this function to not always return the same value.",4min,"Function returns should not be invariant","",""
51301dcb-76b2-4ff9-910c-44a03030298e,CODE_SMELL,MINOR,strategic-learning-unified-theatre:src/llm/inference.js,121,"Prefer `String#replaceAll()` over `String#replace()`.",5min,"Strings should use ""replaceAll()"" instead of ""replace()"" with global regex","",""
0c3cd100-7557-4103-9c82-31735932466c,CODE_SMELL,MINOR,strategic-learning-unified-theatre:src/llm/inference.js,129,"Prefer `String#replaceAll()` over `String#replace()`.",5min,"Strings should use ""replaceAll()"" instead of ""replace()"" with global regex","",""
