rule,severity,file,line,message
javascript:S6844,MAJOR,strategic-learning-unified-theatre:renderer/screens/Accounts.jsx,632,Anchor used as a button. Anchors are primarily expected to navigate. Use the button element instead.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/screens/BrowserAutomation.jsx,26,Prefer `globalThis` over `window`.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/screens/BrowserAutomation.jsx,45,Prefer `globalThis` over `window`.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/screens/BrowserAutomation.jsx,65,Prefer `globalThis` over `window`.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/screens/PromptTemplates.jsx,15,Prefer `globalThis` over `window`.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/screens/PromptTemplates.jsx,55,Prefer `globalThis` over `window`.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/screens/PromptTemplates.jsx,61,Prefer `globalThis` over `window`.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/screens/PromptTemplates.jsx,78,Prefer `globalThis` over `window`.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/screens/PromptTemplates.jsx,81,Prefer `globalThis` over `window`.
javascript:S3358,MAJOR,strategic-learning-unified-theatre:renderer/screens/PromptTemplates.jsx,146,Extract this nested ternary operation into an independent statement.
javascript:S1128,MINOR,strategic-learning-unified-theatre:scripts/plugin_test_runner.mjs,4,Remove this unused import of 'pathToFileURL'.
javascript:S4624,MAJOR,strategic-learning-unified-theatre:src/commands/ai.js,65,Refactor this code to not use nested template literals.
javascript:S2486,MINOR,strategic-learning-unified-theatre:src/daemon/daemonStatus.js,36,Handle this exception or don't catch it at all.
javascript:S7765,MINOR,strategic-learning-unified-theatre:src/system/systemHealth.js,26,Use `.includes()` instead of `.some()` when checking value existence.
javascript:S7765,MINOR,strategic-learning-unified-theatre:src/system/systemHealth.js,27,Use `.includes()` instead of `.some()` when checking value existence.
javascript:S6582,MAJOR,strategic-learning-unified-theatre:src/system/systemHealth.js,85,Prefer using an optional chain expression instead, as it's more concise and easier to read.
javascript:S1128,MINOR,strategic-learning-unified-theatre:test-bc2-diagnostics.js,7,Remove this unused import of 'execSync'.
javascript:S4624,MAJOR,strategic-learning-unified-theatre:electron-ui/ipc/handlers.cjs,80,Refactor this code to not use nested template literals.
javascript:S4624,MAJOR,strategic-learning-unified-theatre:electron-ui/ipc/handlers.cjs,91,Refactor this code to not use nested template literals.
javascript:S2486,MINOR,strategic-learning-unified-theatre:electron-ui/ipc/handlers.cjs,434,Handle this exception or don't catch it at all.
javascript:S7764,MINOR,strategic-learning-unified-theatre:renderer/Logs.jsx,12,Prefer `globalThis` over `window`.
javascript:S6582,MAJOR,strategic-learning-unified-theatre:run-tests.cjs,66,Prefer using an optional chain expression instead, as it's more concise and easier to read.
javascript:S6582,MAJOR,strategic-learning-unified-theatre:run-tests.js,65,Prefer using an optional chain expression instead, as it's more concise and easier to read.
javascript:S3358,MAJOR,strategic-learning-unified-theatre:src/accounts/health.js,175,Extract this nested ternary operation into an independent statement.
javascript:S3358,MAJOR,strategic-learning-unified-theatre:src/accounts/health.js,234,Extract this nested ternary operation into an independent statement.
javascript:S3358,MAJOR,strategic-learning-unified-theatre:src/accounts/health.js,358,Extract this nested ternary operation into an independent statement.
javascript:S7781,MINOR,strategic-learning-unified-theatre:src/accounts/profile-manager.js,163,Prefer `String#replaceAll()` over `String#replace()`.
javascript:S6653,MINOR,strategic-learning-unified-theatre:src/accounts/secret-store.js,65,Use 'Object.hasOwn()' instead of 'Object.prototype.hasOwnProperty.call()'.
javascript:S7785,MAJOR,strategic-learning-unified-theatre:src/daemon/daemon-runner.js,408,Prefer top-level await over using a promise chain.
javascript:S1874,MINOR,strategic-learning-unified-theatre:src/domain/schemas.js,230,'(params?: string | { abort?: boolean; version?: "v1" | "v2" | "v3" | "v4" | "v5" | "v6" | "v7" | "v8"; error?: string | $ZodErrorMap<$ZodIssueInvalidStringFormat>; message?: string; }): ZodString' is deprecated.
