repo_name,function_name,language,file_path,line,signature_excerpt,visibility,invocation_type,called_by,reference_count,string_reference_count,live_confidence,notes,owner_review,status,same_file_reference_count,same_file_string_reference_count,total_reference_count,path_invoked_match_file
Solution,BrowserPanel,jsx,renderer/BrowserPanel.jsx,21,"export default function BrowserPanel({ initialPlatform = ""chatgpt"" }) {",public,CLI,"renderer/App.jsx (3 call refs, 0 string refs)",3,0,high,Same-file references detected; private helper usage is present.,,,3,0,6,
Solution,handlePlatformClick,jsx,renderer/BrowserPanel.jsx,32,const handlePlatformClick = async (platform) => {,internal,CLI,,0,0,high,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,handleCapture,jsx,renderer/BrowserPanel.jsx,50,const handleCapture = (payload) => {,internal,CLI,"src/session-supervisor.js (1 call refs, 0 string refs); renderer/screens/Accounts.jsx (2 call refs, 0 string refs); tests/session-supervisor.test.js (5 call refs, 0 string refs)",8,0,high,Same-file references detected; private helper usage is present.,,,1,0,9,
Solution,Logs,jsx,renderer/Logs.jsx,5,export default function Logs() {,public,Direct,"renderer/App.jsx (3 call refs, 1 string refs); renderer/__tests__/Logs.test.jsx (4 call refs, 0 string refs); renderer/components/Sidebar.jsx (0 call refs, 1 string refs)",7,2,high,Cross-file references detected; review for external wiring. String-based references detected; check dynamic dispatch/config wiring.,,,0,0,7,
Solution,formatRelativeTime,jsx,renderer/TrainingStatus.jsx,10,function formatRelativeTime(timestamp) {,internal,Direct,,0,0,medium,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,TrainingStatus,jsx,renderer/TrainingStatus.jsx,48,export default function TrainingStatus({,public,Direct,"renderer/BrowserPanel.jsx (3 call refs, 0 string refs); renderer/__tests__/TrainingStatus.test.jsx (18 call refs, 0 string refs)",21,0,high,Same-file references detected; private helper usage is present.,,,2,0,23,
Solution,Sidebar,jsx,renderer/components/Sidebar.jsx,188,"export default function Sidebar({ active, onSelect }) {",public,Direct,"renderer/App.jsx (3 call refs, 0 string refs)",3,0,high,Same-file references detected; private helper usage is present.,,,1,0,4,
Solution,pickTheme,jsx,renderer/components/Sidebar.jsx,205,const pickTheme = (id) => {,internal,Direct,,0,0,medium,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,NavItem,jsx,renderer/components/Sidebar.jsx,392,"function NavItem({ item, isActive, t, iconFilter, onSelect }) {",internal,Direct,,0,0,medium,Same-file references detected; private helper usage is present.,,,3,0,3,
Solution,PickerRow,jsx,renderer/components/Sidebar.jsx,485,"function PickerRow({ id, th, active, t, onPick }) {",internal,Direct,,0,0,medium,Same-file references detected; private helper usage is present.,,,3,0,3,
Solution,collectStatuses,jsx,renderer/components/StatusBar.jsx,7,function collectStatuses(health) {,internal,Direct,,0,0,medium,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,deriveStatus,jsx,renderer/components/StatusBar.jsx,18,function deriveStatus(health) {,internal,Direct,,0,0,medium,Same-file references detected; private helper usage is present.,,,1,0,1,
Solution,StatusBar,jsx,renderer/components/StatusBar.jsx,35,export default function StatusBar() {,public,Direct,"renderer/App.jsx (3 call refs, 0 string refs)",3,0,high,Cross-file references detected; review for external wiring.,,,0,0,3,
Solution,refresh,jsx,renderer/components/StatusBar.jsx,40,const refresh = () => {,internal,Direct,"renderer/screens/PromptTemplates.jsx (4 call refs, 0 string refs); renderer/screens/BrowserAutomation.jsx (3 call refs, 0 string refs)",7,0,medium,Same-file references detected; private helper usage is present.,,,2,0,9,
Solution,Root,jsx,renderer/main.jsx,6,function Root() {,internal,Direct,"tests/storage/storage-monitor-coverage.test.js (0 call refs, 2 string refs)",0,2,medium,Same-file references detected; private helper usage is present. String-based references detected; check dynamic dispatch/config wiring.,,,1,0,1,
Solution,StatusChip,jsx,renderer/screens/Accounts.jsx,19,function StatusChip({ status }) {,internal,Direct,,0,0,medium,Same-file references detected; private helper usage is present.,,,3,0,3,
